,inv_1 cp_1,inv_2 cp_1,inv_3 cp_1,inv_4 cp_1,inv_5 cp_1,inv_6 cp_1,inv_7 cp_1,inv_8 cp_1,inv_9 cp_1,inv_10 cp_1,inv_11 cp_1,inv_12 cp_1,inv_13 cp_1,inv_14 cp_1,inv_15 cp_1,inv_16 cp_1,inv_17 cp_1,inv_18 cp_1,inv_19 cp_1,inv_20 cp_1,inv_21 cp_1,inv_22 cp_1,inv_23 cp_1,inv_24 cp_1,inv_25 cp_1,inv_2 cp_2,inv_3 cp_2,inv_4 cp_2,inv_5 cp_2,inv_6 cp_2,inv_7 cp_2,inv_8 cp_2,inv_9 cp_2,inv_10 cp_2,inv_11 cp_2,inv_12 cp_2,inv_13 cp_2,inv_14 cp_2,inv_15 cp_2,inv_16 cp_2,inv_17 cp_2,inv_18 cp_2,inv_19 cp_2,inv_20 cp_2,inv_21 cp_2,inv_22 cp_2,inv_23 cp_2,inv_24 cp_2,inv_25 cp_2,inv_3 cp_3,inv_4 cp_3,inv_5 cp_3,inv_6 cp_3,inv_7 cp_3,inv_8 cp_3,inv_9 cp_3,inv_10 cp_3,inv_11 cp_3,inv_12 cp_3,inv_13 cp_3,inv_14 cp_3,inv_15 cp_3,inv_16 cp_3,inv_17 cp_3,inv_18 cp_3,inv_19 cp_3,inv_20 cp_3,inv_21 cp_3,inv_22 cp_3,inv_23 cp_3,inv_24 cp_3,inv_25 cp_3,inv_4 cp_4,inv_5 cp_4,inv_6 cp_4,inv_7 cp_4,inv_8 cp_4,inv_9 cp_4,inv_10 cp_4,inv_11 cp_4,inv_12 cp_4,inv_13 cp_4,inv_14 cp_4,inv_15 cp_4,inv_16 cp_4,inv_17 cp_4,inv_18 cp_4,inv_19 cp_4,inv_20 cp_4,inv_21 cp_4,inv_22 cp_4,inv_23 cp_4,inv_24 cp_4,inv_25 cp_4,inv_5 cp_5,inv_6 cp_5,inv_7 cp_5,inv_8 cp_5,inv_9 cp_5,inv_10 cp_5,inv_11 cp_5,inv_12 cp_5,inv_13 cp_5,inv_14 cp_5,inv_15 cp_5,inv_16 cp_5,inv_17 cp_5,inv_18 cp_5,inv_19 cp_5,inv_20 cp_5,inv_21 cp_5,inv_22 cp_5,inv_23 cp_5,inv_24 cp_5,inv_25 cp_5,inv_6 cp_6,inv_7 cp_6,inv_8 cp_6,inv_9 cp_6,inv_10 cp_6,inv_11 cp_6,inv_12 cp_6,inv_13 cp_6,inv_14 cp_6,inv_15 cp_6,inv_16 cp_6,inv_17 cp_6,inv_18 cp_6,inv_19 cp_6,inv_20 cp_6,inv_21 cp_6,inv_22 cp_6,inv_23 cp_6,inv_24 cp_6,inv_25 cp_6,inv_7 cp_7,inv_8 cp_7,inv_9 cp_7,inv_10 cp_7,inv_11 cp_7,inv_12 cp_7,inv_13 cp_7,inv_14 cp_7,inv_15 cp_7,inv_16 cp_7,inv_17 cp_7,inv_18 cp_7,inv_19 cp_7,inv_20 cp_7,inv_21 cp_7,inv_22 cp_7,inv_23 cp_7,inv_24 cp_7,inv_25 cp_7,inv_8 cp_8,inv_9 cp_8,inv_10 cp_8,inv_11 cp_8,inv_12 cp_8,inv_13 cp_8,inv_14 cp_8,inv_15 cp_8,inv_16 cp_8,inv_17 cp_8,inv_18 cp_8,inv_19 cp_8,inv_20 cp_8,inv_21 cp_8,inv_22 cp_8,inv_23 cp_8,inv_24 cp_8,inv_25 cp_8,inv_9 cp_9,inv_10 cp_9,inv_11 cp_9,inv_12 cp_9,inv_13 cp_9,inv_14 cp_9,inv_15 cp_9,inv_16 cp_9,inv_17 cp_9,inv_18 cp_9,inv_19 cp_9,inv_20 cp_9,inv_21 cp_9,inv_22 cp_9,inv_23 cp_9,inv_24 cp_9,inv_25 cp_9,inv_10 cp_10,inv_11 cp_10,inv_12 cp_10,inv_13 cp_10,inv_14 cp_10,inv_15 cp_10,inv_16 cp_10,inv_17 cp_10,inv_18 cp_10,inv_19 cp_10,inv_20 cp_10,inv_21 cp_10,inv_22 cp_10,inv_23 cp_10,inv_24 cp_10,inv_25 cp_10
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,50,61.0,61,59.0,64.0,57,63.0,,,52.0,54.0,57.0,53.0,53,50,65,64,61,65,64,63,64,58,64,65,65,,56.0,61,61,62,64,61,62,63,65,60,64,65,64,59,64,64,64,59,61,65,65,62,65,63,63,64,65,65,65,64,65,62,64,63,65,64,65,64,65,64,65,64,63,64,64,65,65,64,65,65
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,60,61.0,58,54.0,61.0,61,63.0,,,54.0,51.0,56.0,57.0,61,53,63,60,64,62,64,64,63,64,63,65,65,,56.0,58,62,63,55,64,65,61,64,65,65,64,65,64,63,64,64,57,59,62,65,63,64,65,64,63,65,63,65,63,64,63,65,65,65,65,65,64,63,64,64,65,64,65,61,64,64,63,65,63
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,55,52.0,63,59.0,57.0,56,55.0,,,52.0,59.0,58.0,52.0,63,55,58,64,62,63,64,64,63,64,65,64,63,,54.0,62,55,61,62,61,64,63,63,63,65,63,65,63,61,64,64,62,62,65,63,65,65,61,64,63,65,64,64,64,65,64,65,64,65,65,62,63,65,62,64,64,65,65,62,64,65,65,65,65
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,60,58.0,61,62.0,63.0,64,47.0,,,49.0,57.0,55.0,61.0,53,55,63,64,60,59,64,64,65,59,64,63,65,,49.0,61,62,58,54,65,63,64,63,64,64,63,64,65,60,65,64,60,60,60,63,65,64,65,65,64,65,65,65,64,62,62,63,64,62,64,64,64,64,64,65,64,64,65,64,63,64,64,65,65
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,61,53.0,59,58.0,56.0,51,,,,,54.0,56.0,59.0,63,52,61,55,60,62,65,64,65,65,61,65,65,,,61,64,65,65,63,64,63,65,64,64,62,61,65,63,64,64,64,63,60,64,65,65,64,63,64,62,62,64,65,65,65,65,64,65,64,63,63,65,63,64,64,63,64,65,64,64,64,64,64
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,51,58.0,55,56.0,61.0,64,,,,,55.0,52.0,56.0,57,64,65,55,61,61,59,64,63,63,65,64,64,,,56,64,62,61,54,65,64,58,65,65,65,65,64,65,65,64,62,63,63,65,58,65,63,63,64,65,64,64,65,64,65,62,64,64,65,64,63,64,63,64,65,65,64,64,64,65,64,61,65
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,57.0,63,57.0,55.0,53,,,,,51.0,55.0,58.0,54,56,57,60,65,64,59,64,61,61,64,64,63,,,52,62,65,63,65,62,64,62,65,65,65,65,63,62,65,63,61,64,60,64,65,63,64,64,65,65,65,63,63,64,65,65,64,65,65,64,63,63,65,63,65,64,63,64,65,65,63,64,65
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,61.0,63,58.0,53.0,56,,,,,53.0,52.0,56.0,53,56,58,62,65,60,63,63,65,65,56,64,65,,,55,60,60,61,65,65,64,63,64,65,63,65,64,65,65,63,60,65,63,60,62,65,65,62,58,64,65,65,64,65,65,61,64,63,65,62,63,65,65,64,64,62,65,63,64,64,64,64,65
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,51.0,60,55.0,42.0,63,,,,,51.0,58.0,51.0,61,58,58,61,63,64,64,64,55,63,56,63,63,,,62,65,58,64,65,59,65,64,64,64,58,62,64,63,65,65,64,56,65,63,64,63,65,65,64,63,65,65,64,64,65,65,65,63,65,64,64,65,64,64,65,65,62,65,65,64,65,63,65
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,61.0,63,52.0,,64,,,,,51.0,58.0,53.0,59,61,61,57,64,65,60,65,65,65,63,65,62,,,60,58,61,65,64,63,62,63,63,64,64,65,63,62,64,64,63,54,64,65,63,64,65,65,61,65,64,65,65,65,64,64,64,58,65,64,64,65,65,65,64,62,65,63,64,64,64,64,65
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,59.0,62,62.0,,59,,,,,56.0,47.0,55.0,57,58,55,64,65,64,63,62,62,64,65,65,64,,,61,51,64,63,56,63,65,64,64,63,64,65,62,63,62,64,58,65,65,64,64,64,64,65,65,63,64,64,64,65,63,65,65,65,64,64,65,64,62,65,64,64,65,64,65,64,65,65,64
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,61.0,56,52.0,,61,,,,,55.0,,56.0,62,58,61,63,61,57,63,63,65,62,64,64,65,,,56,64,56,63,63,58,55,58,65,64,64,63,63,64,65,64,64,65,64,64,62,64,62,64,61,65,65,65,65,64,64,64,65,63,64,64,64,63,64,65,65,62,65,65,63,65,63,62,64
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,64.0,57,61.0,,56,,,,,56.0,,60.0,55,60,59,63,59,58,62,65,60,64,64,65,65,,,57,57,61,61,64,65,64,65,64,64,65,65,64,63,62,64,56,63,64,64,62,65,63,64,64,65,64,64,64,64,65,63,63,64,65,64,65,65,64,64,65,63,62,65,64,64,65,65,65
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,51.0,60,55.0,,56,,,,,47.0,,55.0,54,56,65,57,60,65,59,65,64,63,64,64,64,,,63,62,62,60,64,65,65,62,64,64,64,64,63,64,64,65,55,65,62,63,65,63,63,65,63,63,65,63,65,64,64,65,65,63,62,61,64,64,64,65,65,64,65,65,63,65,65,64,64
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,54.0,58,48.0,,58,,,,,,,50.0,52,56,56,64,65,60,65,63,65,65,63,64,64,,,52,58,62,63,57,62,65,65,65,65,65,64,64,64,65,64,60,62,65,65,65,64,64,65,65,64,65,62,64,65,64,64,64,63,64,63,63,64,65,65,64,64,64,64,65,63,64,64,64
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,55.0,54,,,59,,,,,,,56.0,58,54,52,62,58,61,62,65,59,62,62,64,64,,,50,58,65,59,64,59,64,64,65,64,63,63,64,63,64,64,61,64,61,62,63,65,64,65,63,64,64,65,64,63,62,64,63,64,65,65,65,62,65,64,64,63,63,64,64,64,63,64,65
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,55.0,57,,,59,,,,,,,63.0,56,60,62,63,55,63,64,61,63,59,65,64,65,,,60,62,62,60,63,64,62,64,64,65,64,65,65,65,64,65,60,64,60,62,63,65,65,64,65,64,65,65,65,63,63,65,64,64,65,64,64,64,64,64,65,64,62,65,65,64,64,65,63
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,49.0,58,,,59,,,,,,,47.0,57,63,54,63,65,65,62,61,64,64,63,63,63,,,59,55,58,63,64,63,65,64,65,64,65,64,64,65,64,65,60,64,63,62,65,60,62,64,64,65,65,64,65,65,64,62,65,65,63,65,64,64,65,64,64,65,65,63,65,64,65,65,65
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,54,,,56,,,,,,,,61,58,59,60,63,63,60,65,63,65,51,64,65,,,57,62,64,61,61,63,64,64,64,65,64,63,63,64,62,62,65,62,64,63,64,63,65,64,64,65,65,65,65,65,65,63,65,64,65,64,63,65,64,63,64,65,64,64,65,65,63,63,62
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,56,,,64,,,,,,,,55,59,53,60,63,65,64,65,63,63,61,63,59,,,57,61,62,61,63,60,65,64,62,65,65,62,65,65,65,64,64,65,62,64,62,60,63,65,64,64,63,65,65,65,64,63,65,65,61,65,65,62,63,64,65,65,64,64,65,65,64,64,64
